ID_demographique,Population_tot,Age_median,Revenu_moyen,GEOGRAPHIQUE_ID_pays
1,331002651,30,55805,1   # États-Unis
2,145934462,35,39827,2   # Russie
3,67886011,41,44933,3    # France
4,83240525,34,45436,4    # Turquie
5,67886011,41,44933,5    # Royaume-Uni
6,1465991830,30,11647,6  # Inde
7,128932753,31,43678,7   # Mexique
8,45195774,41,51537,8    # Afrique du Sud
9,83115572,40,44933,9    # Espagne
10,126476461,37,39277,10 # Philippines
11,273523615,27,11285,11 # Indonésie
12,67886011,41,44933,12  # Pays-Bas
13,45019579,43,43790,13  # Colombie
14,45019579,43,43790,14  # Chili
15,67886011,41,44933,15  # Argentine
16,82913906,44,55641,16  # Canada
17,209288278,32,41034,17 # Pérou
18,67886011,41,44933,18  # Suède
19,126190788,27,13013,19 # Bangladesh
20,45477936,45,43289,20  # Ukraine
21,109581078,38,60103,21 # Malaisie
22,27834821,46,56189,22  # Australie
23,3405813,31,68167,23   # Luxembourg
24,42615431,42,51613,24  # Portugal
25,67886011,41,44933,25  # Grèce
26,213993437,30,11732,26 # Irak
27,68236504,32,41612,27  # Kazakhstan
28,37799407,31,45334,28  # Serbie
29,54596425,42,43426,29  # Singapour
30,865806,46,54610,30    # Lettonie
